"Name","Rank","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species","LFQ intensity DMSO1","LFQ intensity DMSO2","LFQ intensity DMSO3","LFQ intensity Diclofenac1","LFQ intensity Diclofenac2","LFQ intensity Diclofenac3"
"Cryptobacterium curtum","Species","Bacteria","","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Cryptobacterium","Cryptobacterium curtum","8304400.0","8548000.0","1.4707E7","0.0","0.0","0.0"
"Campylobacter","Genus","Bacteria","","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","","4817900.0","1.077E7","0.0","0.0","0.0","0.0"
"Cryptobacterium","Genus","Bacteria","","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Cryptobacterium","","8304400.0","8548000.0","1.4707E7","0.0","0.0","0.0"
"Blautia hydrogenotrophica","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia hydrogenotrophica","4.8798E7","3.573E7","3.9395E7","3.4693E7","3.2818E7","4.1678E7"
"Burkholderiales bacterium YL45","Species","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","","","Burkholderiales bacterium YL45","1.101545E8","1.29867E8","5.05263E7","2.099291E8","3.054211E8","2.446195E8"
"Cutaneotrichosporon oleaginosus","Species","Eukaryota","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon oleaginosus","0.0","1913500.0","0.0","1.161E7","1.4561E7","7772000.0"
"Proteobacteria","Phylum","Bacteria","","Proteobacteria","","","","","","1.621722433E10","1.626719357E10","1.82849507E10","7.218667823E10","7.07321948E10","5.677219322E10"
"Trichosporonaceae","Family","Eukaryota","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","","","0.0","1913500.0","0.0","1.161E7","1.4561E7","7772000.0"
"Lachnoclostridium sp. YL32","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium sp. YL32","0.0","0.0","0.0","2.7395E7","0.0","9246400.0"
"Bifidobacteriaceae","Family","Bacteria","","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","","","7.239285E8","7.417632E8","6.916405E8","9.669771E8","8.693909E8","7.949001E8"
